maintenance_id,property_id,maintenance_date,maintenance_type,cost,description
396,296,11/29/2022,HVAC servicing,9017,8-300 - Specialty Doors
397,249,2/20/2019,Window replacement,3754,13-600 - Solar and Wind Energy Equipment
398,698,2/11/2021,Roofing replacement,4356,2-240 - Dewatering
399,85,11/15/2021,Flooring repair,1912,11-100 - Mercantile Equipment
400,765,11/21/2019,Window replacement,9827,7-100 - Damproofing and Waterproofing
401,849,8/14/2022,Flooring repair,8940,2-780 - Clay Unit Pavers
402,178,4/16/2021,Roofing replacement,3692,7-050 - Basic Thermal and Moisture Protection Materials and Methods
403,191,6/21/2021,Painting,403,1-580 - Project Identification
404,411,12/31/2021,Window replacement,1146,13-165 - Aquatic Park Facilities
405,938,12/30/2021,Roofing replacement,3244,13-200 - Storage Tanks
406,159,9/20/2021,Electrical maintenance,8700,11-600 - Laboratory Equipment
407,658,2/9/2021,Window replacement,9740,1-540 - Construction Aids
408,595,7/22/2022,Painting,3972,16 - Electrical
409,397,12/22/2020,HVAC servicing,6796,13-090 - Radiation Protection
410,535,6/12/2023,Painting,5299,13-185 - Kennels and Animal Shelters
411,88,5/30/2021,Flooring repair,1660,11-300 - Fluid Waste Treatment and Disposal Equipment
412,284,11/5/2020,Window replacement,8915,5-700 - Ornamental Metal
413,773,4/15/2022,Roofing replacement,2055,11-680 - Office Equipment
414,530,10/28/2023,Electrical maintenance,6400,10-350 - Flagpoles
415,917,12/24/2021,Electrical maintenance,9930,13-220 - Filter Underdrains and Media
416,513,3/2/2022,Electrical maintenance,7516,13-900 - Fire Suppression
417,797,6/18/2020,HVAC servicing,9223,13-170 - Tubs and Pools
418,941,12/29/2021,Electrical maintenance,7031,14-200 - Elevators
419,122,10/24/2020,Painting,2681,9-300 - Tile
420,507,9/16/2020,Electrical maintenance,4802,1-550 - Vehicular Access and Parking
421,809,5/3/2022,Plumbing repair,7703,1-523 - Sanitary Facilities
422,395,10/16/2021,HVAC servicing,9225,1-903 - Hazardous Materials Abatement
423,360,8/6/2019,Window replacement,457,5-050 - Basic Metal Materials and Methods
424,643,10/24/2023,Plumbing repair,3906,10-240 - Grilles and Screens
425,46,5/3/2019,Roofing replacement,7199,11-680 - Office Equipment
426,310,3/6/2019,HVAC servicing,1534,2-825 - Wood Fences and Gates
427,271,9/13/2021,Plumbing repair,6218,"11-480 - Athletic, Recreational, and Therapeutic Equipment"
428,260,4/16/2021,Flooring repair,3391,2-915 - Mulch
429,738,10/22/2023,Flooring repair,5265,6 - Wood and Plastics
430,509,11/8/2023,Electrical maintenance,1753,17 - Markup and Contingency
431,451,2/26/2022,Window replacement,728,16-700 - Communications
432,45,9/10/2019,HVAC servicing,9304,9-100 - Metal Support Assemblies
433,784,12/2/2023,Painting,9528,13-280 - Hazardous Material Remediation
434,798,8/21/2021,Roofing replacement,1904,1-523 - Sanitary Facilities
435,234,3/20/2021,Window replacement,1351,2-000 - General
436,298,12/17/2022,Painting,2828,1-570 - Temporary Controls
437,121,6/10/2023,Painting,1044,13-600 - Solar and Wind Energy Equipment
438,746,3/10/2019,Electrical maintenance,8396,2-850 - Bridges/Footbridges
439,210,11/10/2019,Window replacement,6994,12-400 - Furnishings and Accessories
440,763,12/19/2021,HVAC servicing,2379,2-915 - Mulch
441,805,8/7/2023,Electrical maintenance,6513,16 - Electrical
442,673,2/22/2023,Electrical maintenance,839,2-781 - Asphalt Pavers
443,586,8/8/2021,Roofing replacement,4270,17 - Markup and Contingency
444,857,8/2/2019,Window replacement,4843,15-300 - Fire Protection Piping
445,664,7/7/2019,Electrical maintenance,1143,10-880 - Scales
446,823,12/4/2022,Window replacement,1781,11-470 - Darkroom Equipment
447,900,5/24/2019,Painting,1374,2-813 - Lawn Sprinkling and Irrigation
448,480,9/4/2022,,3582,13-175 - Ice Rinks
449,839,7/3/2023,HVAC servicing,5212,8-800 - Glazing
450,624,2/18/2023,HVAC servicing,8579,5-200 - Metal Joists
451,135,10/11/2021,Painting,4724,11-600 - Laboratory Equipment
452,608,2/8/2022,HVAC servicing,6678,9-600 - Flooring
453,748,9/6/2023,Flooring repair,6441,10-250 - Service Walls
454,953,3/18/2019,HVAC servicing,8668,13-850 - Detection and Alarm
455,441,3/8/2019,Flooring repair,3931,6-200 - Finish Carpentry
456,72,2/22/2023,Painting,6101,3-100 - Concrete Reinforcement
457,410,5/24/2021,Flooring repair,5618,15 - Mechanical
458,676,2/27/2023,Flooring repair,5892,11-400 - Food Service Equipment
459,996,10/12/2019,,1219,14-100 - Dumbwaiters
460,251,3/31/2023,Electrical maintenance,5424,11-070 - Instrumental Equipment
461,56,1/20/2022,Plumbing repair,4820,10-750 - Telephone Specialties
462,483,5/25/2021,Painting,1085,1-000 - Purpose
463,862,3/19/2021,Roofing replacement,5582,1-013 - Project Coordinator
464,511,9/20/2021,Electrical maintenance,3455,11-900 - Exhibit Equipment
465,285,4/6/2021,Plumbing repair,2549,11 - Equipment
466,332,4/23/2023,HVAC servicing,249,10-820 - Bathroom Accessories
467,863,8/19/2023,Roofing replacement,5775,1-904 - Hazardous Materials Removal and Disposal
468,679,9/27/2023,Window replacement,1854,4-700 - Simulated Masonry
469,167,12/12/2022,Window replacement,9087,3-330 - Poured Concrete Basement Walls
470,14,7/14/2020,Plumbing repair,549,13-175 - Ice Rinks
471,47,3/3/2019,Flooring repair,9133,2-540 - Septic Tank
472,189,9/8/2023,Plumbing repair,236,1-542 - Construction Scaffolding and Platforms
473,873,2/10/2023,Painting,3283,13 - Special Construction
474,450,3/5/2020,Roofing replacement,250,14-400 - Lifts
475,153,5/26/2020,Painting,7669,6-900 - Wood and Plastic Restoration and Cleaning
476,278,4/11/2019,Plumbing repair,8034,1-712 - Local Conditions
477,227,7/26/2019,,6882,12-600 - Multiple Seating
478,636,8/19/2019,Electrical maintenance,5895,8-050 - Basic Door and Window Materials and Methods
479,297,3/24/2022,Window replacement,7848,11-300 - Fluid Waste Treatment and Disposal Equipment
480,37,2/4/2020,Flooring repair,358,4-600 - Corrosion-Resistant Masonry
481,652,4/24/2023,HVAC servicing,8487,4-800 - Masonry Assemblies
482,431,1/7/2020,Electrical maintenance,5040,11-020 - Security and Vault Equipment
483,71,1/3/2020,Roofing replacement,4655,7-700 - Roof Specialties and Accessories
484,259,9/27/2021,Flooring repair,5702,8-200 - Wood and Plastic Doors
485,453,2/26/2019,HVAC servicing,7697,3-350 - Concrete Finishing
486,908,12/8/2021,Plumbing repair,204,2-250 - Shoring and Underpinning
487,832,1/28/2022,Painting,8476,9-800 - Acoustical Treatment
488,995,4/17/2021,Window replacement,9138,1-570 - Temporary Controls
489,549,3/17/2023,Window replacement,7318,3-000 - General
490,104,9/28/2020,Plumbing repair,4628,10-450 - Pedestrian Control Devices
491,66,12/1/2019,Plumbing repair,6920,2-813 - Lawn Sprinkling and Irrigation
492,471,3/19/2023,HVAC servicing,1996,2-924 - Sodding
493,911,3/16/2023,Plumbing repair,1495,2-780 - Clay Unit Pavers
494,140,11/18/2019,Roofing replacement,2051,11 - Equipment
495,112,9/28/2019,Plumbing repair,8475,6-600 - Plastic Fabrications
496,883,1/27/2019,Flooring repair,9257,14-100 - Dumbwaiters
497,402,5/24/2020,HVAC servicing,3099,14-700 - Turntables
498,275,2/7/2019,Roofing replacement,4299,7-100 - Damproofing and Waterproofing
499,129,11/11/2021,Electrical maintenance,3781,13-020 - Building Modules
500,181,4/15/2020,Flooring repair,6607,14-900 - Transportation
501,886,2/18/2023,Roofing replacement,5695,17-020 - Insurance
502,502,1/22/2023,HVAC servicing,6275,1-515 - Temporary Lighting
503,391,4/3/2020,Plumbing repair,2767,11-090 - Checkroom Equipment
504,108,5/17/2022,Electrical maintenance,9310,3 - Concrete
505,321,11/26/2022,,6890,13-010 - Air-Supported Structures
506,979,7/13/2023,HVAC servicing,4329,10-350 - Flagpoles
507,865,3/2/2020,Painting,719,13-400 - Measurement and Control Instrumentation
508,39,12/15/2021,Painting,311,5-900 - Metal Restoration and Cleaning
509,853,5/31/2022,Roofing replacement,9378,1-740 - Cleaning
510,573,1/25/2023,Flooring repair,3769,1-518 - Temporary Water
511,753,7/9/2020,Painting,3868,2-825 - Wood Fences and Gates
512,859,9/21/2023,Window replacement,6121,7 - Thermal and Moisture Protection
513,931,2/3/2022,Roofing replacement,4385,1-700 - Execution Requirements
514,945,6/24/2020,Plumbing repair,316,"15-700 - Heating, Venting and Air Conditioning"
515,51,5/2/2023,Plumbing repair,6386,4-500 - Refractories
516,998,6/14/2023,Electrical maintenance,5035,11-110 - Commercial Laundry and Dry Cleaning Equipment
517,308,7/1/2019,Roofing replacement,9902,5-600 - Hydraulic Fabrications
518,950,11/29/2019,Roofing replacement,5697,2-240 - Dewatering
519,201,9/5/2020,Flooring repair,587,8-800 - Glazing
520,794,2/17/2021,Flooring repair,9856,2-815 - Fountains
521,519,12/8/2021,Flooring repair,8653,12 - Furnishings
522,671,10/3/2022,Flooring repair,3623,1-540 - Construction Aids
523,18,8/6/2023,Plumbing repair,1503,7-050 - Basic Thermal and Moisture Protection Materials and Methods
524,939,7/27/2023,HVAC servicing,6917,1-010 - Project Manager
525,478,5/26/2023,Plumbing repair,9522,1-011 - Project Engineer
526,267,11/4/2021,Plumbing repair,5018,11-680 - Office Equipment
527,783,8/14/2022,,6498,1-580 - Project Identification
528,187,10/19/2022,Flooring repair,7742,13-550 - Transportation Control Instrumentation
529,26,1/30/2022,HVAC servicing,9670,1-540 - Construction Aids
530,287,10/20/2020,Window replacement,5448,13-120 - Pre-Engineered Structures
531,891,12/5/2019,,7311,10 - Specialties
532,40,12/16/2020,Electrical maintenance,3565,13-110 - Cathodic Protection
533,329,5/30/2023,Flooring repair,8124,2-770 - Curb and Gutters
534,788,5/20/2021,Electrical maintenance,4553,2-812 - Drip Irrigation
535,790,11/18/2020,Flooring repair,4097,8-900 - Glazed Curtain Wall
536,92,12/22/2019,Roofing replacement,7346,1-511 - Temporary Electricity
537,256,9/14/2021,Plumbing repair,2479,14-500 - Material Handling
538,319,6/29/2022,Electrical maintenance,5736,11-160 - Loading Dock Equipment
539,13,12/30/2023,Roofing replacement,5402,2-250 - Shoring and Underpinning
540,877,6/3/2023,Plumbing repair,666,12-300 - Manufactured Casework
541,435,6/17/2023,Plumbing repair,75,9-300 - Tile
542,959,1/12/2020,Painting,5890,2-822 - Ornamental Metal Fences and Gates
543,63,2/27/2020,,8682,11-450 - Residential Equipment
544,585,1/9/2021,Window replacement,3214,17-010 - Contingency
545,856,10/3/2021,Flooring repair,8180,7-400 - Roofing and Siding Panels
546,674,9/20/2019,Flooring repair,178,4-050 - Basic Masonry Materials and Methods
547,132,5/4/2020,Window replacement,9205,12-100 - Art
548,958,12/14/2022,HVAC servicing,2096,12-300 - Manufactured Casework
549,351,7/20/2022,Flooring repair,9087,11-110 - Commercial Laundry and Dry Cleaning Equipment
550,307,2/22/2022,Plumbing repair,9739,16-200 - Electrical Power
551,150,1/6/2023,Electrical maintenance,2494,1-560 - Temporary Barriers and Enclosures
552,494,3/1/2020,Window replacement,305,2-740 - Flexible Pavement Asphalt Pavement
553,168,11/19/2020,,9689,15-050 - Basic Mechanical Materials and Methods
554,909,12/27/2021,HVAC servicing,9239,9 - Finishes
555,288,4/1/2020,Electrical maintenance,7027,15-400 - Plumbing Fixtures and Equipment
556,408,8/27/2021,HVAC servicing,9000,4-800 - Masonry Assemblies
557,161,2/9/2020,Plumbing repair,9541,16-300 - Transmission and Distribution
558,550,10/3/2020,Plumbing repair,6164,4-500 - Refractories
559,419,2/6/2019,Flooring repair,338,1-002 - Instructions
560,896,10/18/2019,Electrical maintenance,3896,13-175 - Ice Rinks
561,491,12/2/2019,Window replacement,4049,"1-514 - Temporary Heating, Cooling and Ventilation"
562,957,3/13/2019,,88,7 - Thermal and Moisture Protection
563,41,9/9/2020,Window replacement,5186,2-825 - Wood Fences and Gates
564,363,9/22/2020,Roofing replacement,7188,11-650 - Planetarium Equipment
565,81,3/31/2023,Roofing replacement,3434,6-500 - Structural Plastics
566,934,5/19/2020,Electrical maintenance,2574,11-150 - Parking Control Equipment
567,910,12/4/2021,Flooring repair,4164,14-500 - Material Handling
568,447,1/5/2019,Painting,9571,1-700 - Execution Requirements
569,356,1/25/2019,Electrical maintenance,632,1-520 - Construction Facilities
570,146,10/30/2023,,7947,1-760 - Protecting Installed Construction
571,23,1/19/2019,Flooring repair,1979,8-400 - Entrances and Storefronts
572,693,10/27/2020,Electrical maintenance,6256,"7-300 - Shingles, Roof Tiles, and Roof Coverings"
573,559,4/14/2019,HVAC servicing,1405,8-100 - Doors
574,597,11/11/2023,Painting,2686,13-800 - Building Automation and Control
575,725,11/20/2021,,4343,2-815 - Fountains
576,510,7/29/2022,Window replacement,3992,2-830 - Retaining Walls
577,422,5/24/2020,Flooring repair,3694,12-300 - Manufactured Casework
578,893,10/20/2020,Painting,8037,3-300 - Footings
579,20,3/7/2023,Roofing replacement,9705,16-300 - Transmission and Distribution
580,463,6/17/2022,HVAC servicing,9806,10-700 - Exterior Protection
581,867,2/20/2021,HVAC servicing,8722,13-600 - Solar and Wind Energy Equipment
582,443,2/17/2021,Window replacement,7527,8-800 - Glazing
583,682,3/4/2023,Roofing replacement,829,2-821 - Chain Link Fences
584,569,4/14/2020,Window replacement,2338,2-923 - Seeding and Soil Supplements
585,930,8/21/2022,Electrical maintenance,9826,13-700 - Security Access and Surveillance
586,548,9/11/2022,Window replacement,5069,2-821 - Chain Link Fences
587,936,12/12/2021,,7863,11-780 - Mortuary Equipment
588,808,2/27/2022,Window replacement,4185,11-080 - Registration Equipment
589,600,3/1/2021,Electrical maintenance,5320,7-050 - Basic Thermal and Moisture Protection Materials and Methods
590,91,6/13/2019,HVAC servicing,8138,4-800 - Masonry Assemblies
591,613,10/16/2019,Plumbing repair,7864,1-011 - Project Engineer
592,312,6/4/2023,,6518,7-050 - Basic Thermal and Moisture Protection Materials and Methods
593,493,11/14/2019,Electrical maintenance,132,6 - Wood and Plastics
594,269,2/24/2021,Painting,4292,11-900 - Exhibit Equipment
595,555,8/18/2020,Flooring repair,2390,2-930 - Exterior Plants
596,370,9/11/2022,Flooring repair,3872,13-165 - Aquatic Park Facilities
597,109,10/25/2021,Plumbing repair,2835,2-250 - Shoring and Underpinning
598,216,9/18/2023,Flooring repair,1238,2-915 - Mulch
599,385,5/12/2019,Electrical maintenance,1887,14-600 - Hoists and Cables
600,710,3/9/2020,Flooring repair,1000,5-700 - Ornamental Metal
601,429,11/3/2019,Plumbing repair,6333,1-010 - Project Manager
602,281,8/13/2020,,1014,10-550 - Postal Specialties
603,935,4/29/2022,HVAC servicing,311,2-500 - Utility Services
604,174,11/10/2019,Plumbing repair,1603,17-030 - Bond
605,49,5/15/2019,Plumbing repair,7421,11-190 - Detention Equipment
606,437,2/2/2023,HVAC servicing,1384,13-170 - Tubs and Pools
607,78,8/8/2019,HVAC servicing,471,16-100 - Electrical
608,946,4/6/2023,,8417,1-002 - Instructions
609,742,5/17/2022,Roofing replacement,4250,7-900 - Joint Sealers
610,567,10/5/2023,Window replacement,8098,9-600 - Flooring
611,477,2/25/2021,Painting,6611,8-500 - Windows
612,445,12/19/2022,Plumbing repair,6818,7-700 - Roof Specialties and Accessories
613,327,4/13/2020,HVAC servicing,783,3-000 - General
614,593,4/13/2023,Painting,8923,5-500 - Metal Fabrications
615,638,6/9/2021,Roofing replacement,3775,3-000 - General
616,414,4/8/2021,Plumbing repair,723,12-500 - Furniture
617,522,3/5/2022,Flooring repair,4868,14-700 - Turntables
618,609,3/20/2021,Window replacement,580,9-050 - Basic Finish Materials and Methods
619,775,6/11/2023,Plumbing repair,5265,5-100 - Structural Metals
620,222,10/6/2023,Flooring repair,138,2-824 - Wire Fences and Gates
621,590,1/10/2020,HVAC servicing,1685,13-400 - Measurement and Control Instrumentation
622,539,9/20/2023,Flooring repair,576,9-800 - Acoustical Treatment
623,125,9/24/2020,HVAC servicing,2861,13-010 - Air-Supported Structures
624,208,6/18/2021,Plumbing repair,2464,9-400 - Terrazzo
625,545,8/22/2020,Window replacement,730,1-518 - Temporary Water
626,685,4/27/2022,Roofing replacement,4597,13-100 - Lightning Protection
627,531,11/29/2019,Window replacement,9999,13-170 - Tubs and Pools
628,966,3/7/2020,HVAC servicing,5261,2-362 - Termite Control
629,324,1/5/2019,Painting,2350,9 - Finishes
630,994,5/23/2022,HVAC servicing,5784,"1-514 - Temporary Heating, Cooling and Ventilation"
631,528,4/3/2021,Electrical maintenance,6176,14 - Conveying Systems
632,860,7/5/2019,HVAC servicing,2716,4-600 - Corrosion-Resistant Masonry
633,452,2/23/2022,Roofing replacement,5223,7-050 - Basic Thermal and Moisture Protection Materials and Methods
634,610,10/2/2019,Electrical maintenance,2211,10-340 - Manufactured Exterior Specialties
635,261,10/12/2021,Flooring repair,1088,12-500 - Furniture
636,963,7/26/2022,Roofing replacement,1368,11-010 - Maintenance Equipment
637,182,6/13/2022,Plumbing repair,1683,16-050 - Basic Electrical Materials and Methods
638,642,9/30/2019,Electrical maintenance,8509,5-400 - Cold-Formed Metal Framing
639,622,5/1/2022,Flooring repair,2509,1-542 - Construction Scaffolding and Platforms
640,584,10/30/2022,Window replacement,4267,13-185 - Kennels and Animal Shelters
641,421,1/11/2019,Painting,3868,6-200 - Finish Carpentry
642,427,7/26/2020,Painting,6223,1 - General Requirements
643,30,8/4/2020,HVAC servicing,3364,3-230 - Anchor Bolts
644,138,8/1/2020,,7015,13-240 - Oxygenation Systems
645,992,7/11/2020,Plumbing repair,5143,8-100 - Doors
646,44,12/6/2022,Plumbing repair,2028,13-240 - Oxygenation Systems
647,889,8/21/2020,HVAC servicing,868,1-523 - Sanitary Facilities
648,750,11/23/2022,Electrical maintenance,88,"15-700 - Heating, Venting and Air Conditioning"
649,521,5/25/2020,Plumbing repair,1830,2-621 - Foundatation Drainage Piping
650,726,7/25/2020,Electrical maintenance,7474,2-823 - PVC Fences and Gates
651,331,4/19/2022,Electrical maintenance,4135,10-900 - Wardrobe and Closet Specialties
652,424,7/6/2022,Flooring repair,9661,2-870 - Sculpture/Ornamental
653,334,4/12/2022,Window replacement,5244,11-060 - Theater and Stage Equipment
654,177,11/23/2023,Window replacement,3602,9-700 - Wall Finishes
655,358,11/24/2023,Plumbing repair,813,9-100 - Metal Support Assemblies
656,302,6/14/2022,Painting,4119,12 - Furnishings
657,106,5/7/2021,HVAC servicing,8135,1-570 - Temporary Controls
658,283,11/21/2021,Painting,2116,2-800 - Site Amenities
659,76,4/1/2019,Plumbing repair,4263,8-300 - Specialty Doors
660,137,9/29/2019,Window replacement,7029,1-640 - Owner Furnished Products
661,747,9/13/2023,HVAC servicing,4067,8-100 - Doors
662,53,9/28/2022,Painting,3812,16-400 - Low-Voltage Distribution
663,499,2/2/2023,Electrical maintenance,9025,2-750 - Concrete Pads and Walks
664,706,5/16/2021,HVAC servicing,8577,3 - Concrete
665,87,2/13/2019,Window replacement,946,13-600 - Solar and Wind Energy Equipment
666,34,11/18/2021,Flooring repair,1247,2-780 - Clay Unit Pavers
667,188,12/14/2020,,5420,14-900 - Transportation
668,804,11/1/2019,Roofing replacement,7736,13-160 - Aquariums
669,989,5/10/2023,HVAC servicing,3940,10-350 - Flagpoles
670,599,1/4/2020,Plumbing repair,887,11-080 - Registration Equipment
671,69,3/1/2023,Flooring repair,6304,2-240 - Dewatering
672,730,11/11/2021,Window replacement,8458,10-500 - Lockers
673,196,5/12/2021,Window replacement,3033,3-310 - Expansion Joints
674,323,7/29/2022,,4027,7-600 - Flashing and Sheet Metal
675,628,12/20/2019,Plumbing repair,1240,13-090 - Radiation Protection
676,229,1/3/2023,HVAC servicing,7648,7-400 - Roofing and Siding Panels
677,468,10/14/2022,HVAC servicing,3003,9-500 - Ceilings
678,974,3/31/2019,HVAC servicing,9057,1-760 - Protecting Installed Construction
679,536,1/9/2022,Electrical maintenance,9692,2-790 - Athletic Surfacing
680,105,4/22/2022,Flooring repair,1496,1-560 - Temporary Barriers and Enclosures
681,975,1/12/2023,Roofing replacement,7513,7-700 - Roof Specialties and Accessories
682,54,9/17/2019,Painting,1465,16 - Electrical
683,102,4/30/2019,Plumbing repair,4919,8-900 - Glazed Curtain Wall
684,851,2/22/2019,Flooring repair,6485,1-700 - Execution Requirements
685,826,11/14/2022,Plumbing repair,1991,7-400 - Roofing and Siding Panels
686,960,10/20/2022,Window replacement,9208,13-550 - Transportation Control Instrumentation
687,874,7/22/2019,Electrical maintenance,2408,10-240 - Grilles and Screens
688,980,5/26/2021,Roofing replacement,5514,2-935 - Plant Maintenance
689,458,5/8/2022,Painting,952,11-110 - Commercial Laundry and Dry Cleaning Equipment
690,553,12/5/2021,Roofing replacement,6249,3-400 - Precast Concrete
691,532,1/31/2019,Flooring repair,6716,3-210 - Cast-In-Place Concrete
692,592,12/24/2021,Roofing replacement,4465,2-782 - Brick Pavers
693,299,4/9/2020,Painting,2492,3-330 - Poured Concrete Basement Walls
694,412,9/8/2020,,226,3-230 - Anchor Bolts
695,675,9/26/2023,HVAC servicing,5432,16-800 - Sound and Video
696,598,7/28/2022,Electrical maintenance,6846,11-030 - Teller and Service Equipment
697,740,7/1/2022,Roofing replacement,3086,11-500 - Industrial and Process Equipment
698,490,11/22/2021,Window replacement,5500,2-823 - PVC Fences and Gates
699,556,2/27/2019,Painting,7985,1-740 - Cleaning
700,341,9/11/2022,Painting,6103,1-630 - Product Substitution Procedures
701,469,2/7/2020,HVAC servicing,2621,7-700 - Roof Specialties and Accessories
702,209,8/10/2020,Window replacement,5563,6 - Wood and Plastics
703,704,5/23/2021,Plumbing repair,9678,9-050 - Basic Finish Materials and Methods
704,83,9/8/2023,,2878,2-320 - Excavation and Fill
705,574,4/8/2023,Painting,4729,2-260 - Excavation Support and Protection
706,266,7/11/2019,Plumbing repair,6052,2-824 - Wire Fences and Gates
707,454,1/19/2019,Window replacement,1123,2-815 - Fountains
708,258,1/13/2019,Roofing replacement,7371,14-100 - Dumbwaiters
709,757,1/11/2021,Plumbing repair,7984,10-520 - Fire Protection Specialties
710,185,3/18/2022,HVAC servicing,8227,10-270 - Access Flooring
711,848,2/2/2022,Roofing replacement,4093,12 - Furnishings
712,912,4/18/2021,Window replacement,7152,11-870 - Agricultural Equipment
713,314,1/8/2023,Window replacement,3016,1-011 - Project Engineer
714,687,6/11/2021,HVAC servicing,87,11 - Equipment
715,631,4/30/2019,Flooring repair,2088,13-600 - Solar and Wind Energy Equipment
716,77,9/4/2020,Roofing replacement,5965,1-500 - Temporary Facilities and Controls
717,423,7/19/2020,Roofing replacement,2988,3-000 - General
718,67,3/23/2020,Painting,8556,9-050 - Basic Finish Materials and Methods
719,919,6/22/2023,Plumbing repair,8233,3-600 - Grouts
720,982,8/30/2019,Roofing replacement,5447,12-050 - Fabrics
721,180,2/21/2021,Painting,2482,14-600 - Hoists and Cables
722,677,8/3/2023,Electrical maintenance,7495,10-550 - Postal Specialties
723,976,5/20/2021,Painting,7944,11-110 - Commercial Laundry and Dry Cleaning Equipment
724,116,9/23/2023,Roofing replacement,6937,11-090 - Checkroom Equipment
725,663,4/29/2020,Flooring repair,8849,11-030 - Teller and Service Equipment
726,721,1/16/2022,Electrical maintenance,7266,13-230 - Digester Covers and Appurtenances
727,301,11/21/2020,Electrical maintenance,573,8-400 - Entrances and Storefronts
728,303,7/23/2019,Electrical maintenance,1735,12-700 - Systems Furniture
729,825,11/6/2019,Window replacement,8166,11-170 - Solid Waste Handling Equipment
730,694,11/20/2020,Roofing replacement,1460,12-900 - Furnishings Restoration and Repair
731,486,7/27/2021,HVAC servicing,7173,2 - Site Construction
732,268,12/8/2023,Electrical maintenance,2253,17-010 - Contingency
733,969,6/14/2019,Flooring repair,6854,9-100 - Metal Support Assemblies
734,355,5/21/2020,HVAC servicing,9100,13-165 - Aquatic Park Facilities
735,983,4/5/2022,Roofing replacement,6250,11-660 - Observatory Equipment
736,572,1/3/2020,Electrical maintenance,8587,11-030 - Teller and Service Equipment
737,699,12/27/2023,Window replacement,5484,7 - Thermal and Moisture Protection
738,844,6/2/2019,Window replacement,899,15-600 - Refrigeration Equipment
739,400,8/15/2023,Roofing replacement,8949,16-300 - Transmission and Distribution
740,801,1/12/2020,Electrical maintenance,9199,17 - Markup and Contingency
741,239,3/5/2023,Window replacement,1530,16-800 - Sound and Video
742,293,1/28/2020,Electrical maintenance,2562,2-935 - Plant Maintenance
743,543,9/15/2022,Flooring repair,3248,2-310 - Grading
744,904,9/2/2022,,4003,14-500 - Material Handling
745,255,6/4/2020,Roofing replacement,618,2-850 - Bridges/Footbridges
746,838,9/16/2022,Painting,5199,16-300 - Transmission and Distribution
747,361,9/15/2019,Roofing replacement,1193,1-000 - Purpose
748,991,10/26/2021,Painting,3675,3-310 - Expansion Joints
749,667,2/2/2023,Flooring repair,4067,1 - General Requirements
750,665,6/9/2019,Flooring repair,1489,2-316 - Backfilling
751,12,12/6/2019,Flooring repair,5117,11-400 - Food Service Equipment
752,515,4/6/2020,,6209,10-670 - Storage Shelving
753,627,3/5/2023,Roofing replacement,9847,10-750 - Telephone Specialties
754,295,10/8/2022,Plumbing repair,5215,12-500 - Furniture
755,981,6/22/2022,Roofing replacement,297,5-300 - Metal Deck
756,880,12/22/2019,Electrical maintenance,5433,10-900 - Wardrobe and Closet Specialties
757,244,7/27/2021,Electrical maintenance,9625,3-000 - General
758,286,6/25/2023,Roofing replacement,257,13 - Special Construction
759,703,4/23/2019,Painting,6277,1-013 - Project Coordinator
760,731,8/5/2020,Plumbing repair,2530,2-800 - Site Amenities
761,997,3/23/2021,Flooring repair,2278,4 - Masonry
762,22,4/16/2021,Painting,1380,11-450 - Residential Equipment
763,440,3/21/2020,HVAC servicing,5702,7-700 - Roof Specialties and Accessories
764,668,1/4/2021,Window replacement,9755,10-350 - Flagpoles
765,514,1/30/2023,Painting,7169,15-100 - Plumbing
766,810,8/31/2020,Window replacement,3503,"10-800 - Toilet, Bath, and Laundry Specialties"
767,520,8/27/2021,Plumbing repair,1627,1-630 - Product Substitution Procedures
768,920,2/5/2023,HVAC servicing,2092,11 - Equipment
769,926,8/1/2022,HVAC servicing,7002,1-530 - Temporary Construction
770,96,12/5/2021,Electrical maintenance,1655,10-500 - Lockers
771,623,2/15/2023,Electrical maintenance,8632,5 - Metals
772,350,11/20/2020,Window replacement,6093,12-600 - Multiple Seating
773,423,12/6/2023,HVAC servicing,3611,2-770 - Curb and Gutters
774,1000,6/15/2022,Electrical maintenance,8013,12-100 - Art
775,900,6/7/2020,Plumbing repair,9433,15-800 - Air Distribution
776,453,8/24/2023,Plumbing repair,5642,2-621 - Foundatation Drainage Piping
777,626,7/17/2019,Flooring repair,2881,13-500 - Recording Instrumentation
778,59,11/25/2019,Flooring repair,4842,2-822 - Ornamental Metal Fences and Gates
779,456,2/28/2022,Roofing replacement,8377,2-795 - Porous Paving
780,243,12/20/2020,HVAC servicing,1195,10 - Specialties
781,207,12/31/2022,Flooring repair,944,3-400 - Precast Concrete
782,533,1/2/2020,Flooring repair,6674,11-780 - Mortuary Equipment
783,530,8/3/2022,Window replacement,8892,3-210 - Cast-In-Place Concrete
784,762,12/3/2021,Flooring repair,4155,1-712 - Local Conditions
785,86,4/2/2019,Painting,7505,10-520 - Fire Protection Specialties
786,382,12/15/2023,Window replacement,5906,14-300 - Escalators and Moving Walks
787,913,10/16/2021,Flooring repair,5055,2-315 - Excavation
788,625,5/15/2022,Roofing replacement,4217,11-010 - Maintenance Equipment
789,519,1/19/2022,Roofing replacement,2240,3-210 - Cast-In-Place Concrete
790,247,9/19/2022,Plumbing repair,4232,2-932 - PLants and Bulbs
791,99,1/28/2021,Roofing replacement,1268,10-150 - Compartments and Cubicles
792,955,11/25/2023,,6315,13-500 - Recording Instrumentation
